id_question,trial_id,n_options,position,position_label,prob,is_first,is_last
SAFECRIME_W26,baseline,4,0,A,0.2352,True,False
SAFECRIME_W26,baseline,4,1,B,0.295,False,False
SAFECRIME_W26,baseline,4,2,C,0.3068,False,False
SAFECRIME_W26,baseline,4,3,D,0.1629,False,True
SAFECRIME_W26,permutation_1,4,0,A,0.2712,True,False
SAFECRIME_W26,permutation_1,4,1,B,0.282,False,False
SAFECRIME_W26,permutation_1,4,2,C,0.2887,False,False
SAFECRIME_W26,permutation_1,4,3,D,0.1582,False,True
SAFECRIME_W26,permutation_2,4,0,A,0.2328,True,False
SAFECRIME_W26,permutation_2,4,1,B,0.27,False,False
SAFECRIME_W26,permutation_2,4,2,C,0.3283,False,False
SAFECRIME_W26,permutation_2,4,3,D,0.169,False,True
SAFECRIME_W26,permutation_3,4,0,A,0.2599,True,False
SAFECRIME_W26,permutation_3,4,1,B,0.3111,False,False
SAFECRIME_W26,permutation_3,4,2,C,0.2855,False,False
SAFECRIME_W26,permutation_3,4,3,D,0.1435,False,True
WORLDDANGER_W26,baseline,3,0,A,0.2939,True,False
WORLDDANGER_W26,baseline,3,1,B,0.4145,False,False
WORLDDANGER_W26,baseline,3,2,C,0.2916,False,True
WORLDDANGER_W26,permutation_1,3,0,A,0.33,True,False
WORLDDANGER_W26,permutation_1,3,1,B,0.4304,False,False
WORLDDANGER_W26,permutation_1,3,2,C,0.2396,False,True
WORLDDANGER_W26,permutation_2,3,0,A,0.33,True,False
WORLDDANGER_W26,permutation_2,3,1,B,0.4304,False,False
WORLDDANGER_W26,permutation_2,3,2,C,0.2396,False,True
WORLDDANGER_W26,permutation_3,3,0,A,0.3465,True,False
WORLDDANGER_W26,permutation_3,3,1,B,0.4245,False,False
WORLDDANGER_W26,permutation_3,3,2,C,0.229,False,True
WORRYA_W26,baseline,3,0,A,0.4161,True,False
WORRYA_W26,baseline,3,1,B,0.3559,False,False
WORRYA_W26,baseline,3,2,C,0.228,False,True
WORRYA_W26,permutation_1,3,0,A,0.45,True,False
WORRYA_W26,permutation_1,3,1,B,0.3423,False,False
WORRYA_W26,permutation_1,3,2,C,0.2076,False,True
WORRYA_W26,permutation_2,3,0,A,0.45,True,False
WORRYA_W26,permutation_2,3,1,B,0.3423,False,False
WORRYA_W26,permutation_2,3,2,C,0.2076,False,True
WORRYA_W26,permutation_3,3,0,A,0.3965,True,False
WORRYA_W26,permutation_3,3,1,B,0.3554,False,False
WORRYA_W26,permutation_3,3,2,C,0.2481,False,True
WORRYB_W26,baseline,3,0,A,0.3938,True,False
WORRYB_W26,baseline,3,1,B,0.3729,False,False
WORRYB_W26,baseline,3,2,C,0.2333,False,True
WORRYB_W26,permutation_1,3,0,A,0.411,True,False
WORRYB_W26,permutation_1,3,1,B,0.3742,False,False
WORRYB_W26,permutation_1,3,2,C,0.2149,False,True
WORRYB_W26,permutation_2,3,0,A,0.4386,True,False
WORRYB_W26,permutation_2,3,1,B,0.3443,False,False
WORRYB_W26,permutation_2,3,2,C,0.2171,False,True
WORRYB_W26,permutation_3,3,0,A,0.3541,True,False
WORRYB_W26,permutation_3,3,1,B,0.3569,False,False
WORRYB_W26,permutation_3,3,2,C,0.289,False,True
WORRYC_W26,baseline,3,0,A,0.4023,True,False
WORRYC_W26,baseline,3,1,B,0.3721,False,False
WORRYC_W26,baseline,3,2,C,0.2257,False,True
WORRYC_W26,permutation_1,3,0,A,0.3743,True,False
WORRYC_W26,permutation_1,3,1,B,0.3802,False,False
WORRYC_W26,permutation_1,3,2,C,0.2455,False,True
WORRYC_W26,permutation_2,3,0,A,0.3743,True,False
WORRYC_W26,permutation_2,3,1,B,0.3802,False,False
WORRYC_W26,permutation_2,3,2,C,0.2455,False,True
WORRYC_W26,permutation_3,3,0,A,0.3992,True,False
WORRYC_W26,permutation_3,3,1,B,0.3751,False,False
WORRYC_W26,permutation_3,3,2,C,0.2257,False,True
WORRYD_W26,baseline,3,0,A,0.3952,True,False
WORRYD_W26,baseline,3,1,B,0.3831,False,False
WORRYD_W26,baseline,3,2,C,0.2217,False,True
WORRYD_W26,permutation_1,3,0,A,0.3758,True,False
WORRYD_W26,permutation_1,3,1,B,0.3758,False,False
WORRYD_W26,permutation_1,3,2,C,0.2484,False,True
WORRYD_W26,permutation_2,3,0,A,0.3581,True,False
WORRYD_W26,permutation_2,3,1,B,0.3995,False,False
WORRYD_W26,permutation_2,3,2,C,0.2423,False,True
WORRYD_W26,permutation_3,3,0,A,0.3978,True,False
WORRYD_W26,permutation_3,3,1,B,0.3737,False,False
WORRYD_W26,permutation_3,3,2,C,0.2285,False,True
WORRYE_W26,baseline,3,0,A,0.4013,True,False
WORRYE_W26,baseline,3,1,B,0.3683,False,False
WORRYE_W26,baseline,3,2,C,0.2304,False,True
WORRYE_W26,permutation_1,3,0,A,0.4325,True,False
WORRYE_W26,permutation_1,3,1,B,0.3448,False,False
WORRYE_W26,permutation_1,3,2,C,0.2226,False,True
WORRYE_W26,permutation_2,3,0,A,0.3489,True,False
WORRYE_W26,permutation_2,3,1,B,0.3572,False,False
WORRYE_W26,permutation_2,3,2,C,0.2938,False,True
WORRYE_W26,permutation_3,3,0,A,0.4325,True,False
WORRYE_W26,permutation_3,3,1,B,0.3448,False,False
WORRYE_W26,permutation_3,3,2,C,0.2226,False,True
WORRYF_W26,baseline,3,0,A,0.4183,True,False
WORRYF_W26,baseline,3,1,B,0.3663,False,False
WORRYF_W26,baseline,3,2,C,0.2153,False,True
WORRYF_W26,permutation_1,3,0,A,0.4607,True,False
WORRYF_W26,permutation_1,3,1,B,0.3532,False,False
WORRYF_W26,permutation_1,3,2,C,0.1861,False,True
WORRYF_W26,permutation_2,3,0,A,0.3988,True,False
WORRYF_W26,permutation_2,3,1,B,0.3631,False,False
WORRYF_W26,permutation_2,3,2,C,0.2381,False,True
WORRYF_W26,permutation_3,3,0,A,0.4013,True,False
WORRYF_W26,permutation_3,3,1,B,0.377,False,False
WORRYF_W26,permutation_3,3,2,C,0.2216,False,True
WORRYG_W26,baseline,3,0,A,0.4164,True,False
WORRYG_W26,baseline,3,1,B,0.359,False,False
WORRYG_W26,baseline,3,2,C,0.2246,False,True
WORRYG_W26,permutation_1,3,0,A,0.374,True,False
WORRYG_W26,permutation_1,3,1,B,0.3769,False,False
WORRYG_W26,permutation_1,3,2,C,0.2491,False,True
WORRYG_W26,permutation_2,3,0,A,0.41,True,False
WORRYG_W26,permutation_2,3,1,B,0.3618,False,False
WORRYG_W26,permutation_2,3,2,C,0.2282,False,True
WORRYG_W26,permutation_3,3,0,A,0.41,True,False
WORRYG_W26,permutation_3,3,1,B,0.3618,False,False
WORRYG_W26,permutation_3,3,2,C,0.2282,False,True
GUN_W26,baseline,2,0,A,0.5813,True,False
GUN_W26,baseline,2,1,B,0.4187,False,True
GUN_W26,permutation_1,2,0,A,0.5564,True,False
GUN_W26,permutation_1,2,1,B,0.4436,False,True
